original_id,mapped_id,text,type,answer,analysis,difficulty,hint,title
2,0,A __________ is a collection of distinct elements.,choice,Set,A set is a collection of distinct elements.,1,nan,Q1-1
3,1,The set that consists of all odd positive integers less than 10 is represented by _____________.,choice,"{1, 3, 5, 7, 9}","Odd numbers less than 10 is {1, 3, 5, 7, 9}.",1,nan,Q1-2
4,2,"What is the Cartesian product of A = {1, 2} and B = {a, b}?",choice,"{(1, a), (2, a), (1, b), (2, b)}","A × B = {(1, a), (2, a), (1, b), (2, b)}.",1,Cartesian product A×B is the set of all possible combinations of values from A and B.,Q1-3
5,3,The Cartesian product B x A is always equal to the Cartesian product A x B. Is it true or false?,choice,False,"Let A = {1, 2} and B = {a, b}. The Cartesian product A x B = {(1, a), (1, b), (2, a), (2, b)} and the Cartesian product B x A = {(a, 1), (a, 2), (b, 1), (b, 2)}.",2,nan,Q1-4
6,4,The cardinality of a set is the number of elements of the set. What is the cardinality of the set of odd positive integers less than 10?,choice,5,"Set S, comprising all odd positive integer less than 10, is {1, 3, 5, 7, 9}. Then, the cardinality of set S = |S| is 5.",1,"Set S, comprising all odd positive integer less than 10, is {1, 3, 5, 7, 9}.",Q1-5
7,5,Which of the following two sets are equal?,choice,"A = {1, 2, 3} and B = {2, 1, 3}",nan,1,Two sets are equal if and only if they have the same elements. The order of the elements does not matter!,Q1-6
8,6,"If A × B = {(p, x), (p, y), (q, x), (q, y)}, then A = _____and B = ______.",choice,"A = {p, q} and B = {x, y}","A is a set of all first entries in ordered pairs in A × B.  B is a set of all second entries in ordered pairs in A × B. 
Thus A = {p, q} and B = {x, y}",2,nan,Q1-7
9,7,"If A = {2, 3, 4, 5}, B = {4, 5, 6, 7}, C = {6, 7, 8, 9}, D = {8, 9, 10, 11}, then A - B=___________.",choice,"{2,3}",nan,1,A ˗ B is the set of elements that are in A but not in B.,Q1-8
10,8,"If A = {2, 3, 4, 5}, B = {4, 5, 6, 7}, C = {6, 7, 8, 9}, D = {8, 9, 10, 11}, then A - (A ∩ B)=________.",choice,"{2,3}",nan,2,nan,Q1-9
11,9,"If A = {2, 3, 4, 5}, B = {4, 5, 6, 7}, C = {6, 7, 8, 9}, D = {8, 9, 10, 11}, then (A ∪ B) ∪ C=_________.",choice,"{2, 3, 4, 5, 6, 7, 8, 9}",nan,2,A ∪B ∪C is the set of elements that are in A or in B or in C.,Q1-10
12,10,"If A = {2, 3, 4, 5}, B = {4, 5, 6, 7}, C = {6, 7, 8, 9}, D = {8, 9, 10, 11}, then (A ∪ B) ∩ C=___________.",choice,"{6, 7}",nan,2,A ∪B is the set of elements that are in A or in B. (A ∪B) ∩ C is the set of elements that are in (A ∪B) and in C.,Q1-11
13,11,"If A = {2, 3, 4, 5}, B = {4, 5, 6, 7}, C = {6, 7, 8, 9}, D = {8, 9, 10, 11}, then (A - D) ∩ (B - C)=__________.",choice,"{4,5}",nan,2,nan,Q1-12
14,12,"If A and B are two sets, and A × B consists of 6 elements: If three elements of A × B are (2, 5) (3, 7) (4, 7) then A × B=____.",choice,"{(2, 5), (2, 7), (3, 5), (3, 7), (4,5), (4,7)}","Since, (2, 5) (3, 7) and (4, 7) are elements of A × B. 
So, we can say that 2, 3, 4 are the elements of A and 5, 7 are the elements of B. 
So, A = {2, 3, 4} and B = {5, 7} 
Now, A × B = {(2, 5); (2, 7); (3, 5); (3, 7); (4, 5); (4, 7)} 
Thus, A × B contain six ordered pairs.",3,"Assume (2,5) ∈ A × B then 2∈A, 5∈B.",Q1-13
15,13,"Set A, B, and C are defined as follows: A = {2,3,4,5,6,7, 8, 9}, B = {3,5,7}, C = {3,5,7,9}. Select true or false for the following statement. (A ∪ C) ⊂ B =__________.",choice,False,nan,2,"(A ∪C) is the set of elements that are in A or in C. 
(A ∪C) is a subset of B if every element of (A ∪C) is in B.",Q1-14
16,14,"Set A, B, and C are defined as follows: A = {2,3,4,5,6,7, 8, 9}, B = {3,5,7}, C = {3,5,7,9}. Select true or false for the following statement. B ⊂ (A ∪ B)=_________.",choice,True,nan,2,"(A ∪B) is the set of elements that are in A or in B.
B is a subset of (A ∪B)  if every element of B is in (A ∪B).",Q1-15
17,15,"Set A, B, and C are defined as follows: A = {2,3,4,5,6,7, 8, 9}, B = {3,5,7}, C = {3,5,7,9}. Select true or false for the following statement. B ⊄ (A ∩ C)=____________.",choice,False,nan,2,nan,Q1-16
18,16,"Let A = {1, 2, 3} and B = {1, 2, 5}, then (A - B) ∪ (B - A)= _______.",choice,"{3,5}",nan,2,nan,Q1-17
19,17,"If S = {1,2} and T = {1,2,3}, then S x S =_______.",choice,"{(1,1), (1,2), (2,1), (2,2)}",nan,1,nan,Q1-18
20,18,"If S = {1,2} and T = {1,2,3}, then S x (T - S) =____________.",choice,"{(1,3), (2,3)}",nan,2,"(T -S) is the set of elements that are in T but not in S.
Cartesian product S× (T -S)  is the set of all possible combinations of values from S and (T -S).",Q1-19
21,19,"If S = {1,2} and T = {1,2,3}, then (S x T) - (S x S) is________.",choice,"{(1,3), (2,3)}",nan,2,nan,Q1-20
22,20,"If A = {1, 2, 3} and A ∩ B = {2, 3}, then the number of elements in B cannot be________.",choice,1,nan,3,nan,Q1-21
23,21,In which of the following set definitions is A - B equal to B – A?,choice,"A = {1, 2, 3}, B = {2, 3, 1}",A – B = B - A = Empty Set.,2,"Two sets are equal if and only if they have the same elements.
Two empty sets are always equal.",Q1-22
24,22,The shaded area of the figure is best described by _________,choice,A ∩ B,The region is A intersection B.,1,nan,Q1-23
25,23,The shaded area of the figure is best described by,choice,(A U B) -B,The region is A - B or (A U B) - B.,2,nan,Q1-24
26,24,The shaded area of the figure is best described by,choice,(A U B) – (A ∩ B),The region is (A U B) – (A ∩ B) or (A - B) U (B - A).,2,nan,Q1-25
27,25,The shaded area of the figure is best described by,choice,B – A – C,The region is B-A-C or B-C-A.,2,nan,Q1-26
28,26,"The cardinality of a set, |X|, is the number of elements of the set X. If |A| = 3 and |B| = 2. then |A x B| =__________.",choice,6,"|A| = 3, |B| = 2, |A x B| = |A| * |B| = 6.",1,Cartesian product A×B is the set of all possible combinations of values from A and B.,Q1-27
29,27,"The cardinality of a set, |X|, is the number of elements of the set X. If |A| = 10, |B| = 5, and |A ∩ B| = 2, then |A U B|=__________.",choice,13,10 + 5 – 2 = 13.,2,nan,Q1-28
30,28,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then (C x D) – (A x B) = _________.",choice,"{(1,c) ,(2,c),(3,a),(3,b),(3,c)}","A x B = {(1,a), (1,b) , (2,a) , (2,b)}
C x D = {(1,a),(1,b),(1,c),(2,a),(2,b),(2,c),(3,a),(3,b),(3,c)}
C x D - A x B = {(1,c) ,(2,c),(3,a),(3,b),(3,c)}",2,nan,Q1-29
31,29,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then A ⊆ A x B=__________.",choice,False,nan,2,nan,Q1-30
32,30,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then B ⊆ B x B =_________.",choice,False,nan,2,"Cartesian product B×B is the set of all possible combinations of values from B and B.
B is a subset of ( B×B) if every element of B is in (B×B).",Q1-31
33,31,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then (A x A) ⊆ (C x C) =____________.",choice,True,nan,2,nan,Q1-32
34,32,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then A x A ⊆ A x C =__________.",choice,True,nan,2,nan,Q1-33
35,33,"If A = {1,2}, B = {a,b}, C = {1,2,3}, and D = {a,b,c}, then A x B ⊆ C x D=_________.",choice,True,nan,2,nan,Q1-34
36,34,"In the relational data model, a table is considered as____________.",choice,Relation,nan,1,nan,Q2-1
37,35,_________ is the sets of all possible values for an attribute.,choice,Domain,nan,1,nan,Q2-2
38,36,An attribute is a __________ in a table in the relational data model.,choice,Column,An attribute is a column in a table. A tuple is a row in a table.,1,nan,Q2-3
39,37,The term _______ is used to refer to a row in the relational data model.,choice,Tuple,Tuple is one entry of the relation with several attributes which are fields.,1,nan,Q2-4
40,38,"Consider a relation schema Course(courseID,courseName,semester). Here the courseID, courseName and semester are __________.",choice,Attributes,"The relation course has three attributes: courseID, courseName and semester",1,A relation schema has a relation name and a list of attributes.,Q2-5
41,39,The order of tuples in a relation is ____. The order of attributes in a relation is _________.,choice,Not important; Important,nan,1,nan,Q2-6
42,40,Which one of the following is a set of one or more attributes taken collectively to uniquely identify a tuple?,choice,Superkey,Super key is the superset of all the keys in a relation.,1,nan,Q2-7
43,41,"In the relational data model, a _________ is used to enforce referential integrity between two tables.",choice,Foreign key,nan,1,nan,Q2-8
44,42,Choose the correct statement regarding superkeys,choice,A superkey is an attribute or a set of attributes that can uniquely identify a tuple in a relation,A superkey is an attribute or a set of multiple attributes that can uniquely identify a tuple. It is used to differentiate between tuples.,1,nan,Q2-9
45,43,"If a relation has a foreign key, then it is called a ______ relation of the foreign key dependency.",choice,Referencing,"If a relation has a foreign key, then it is called a referencing relation of the foreign key dependency.",1,nan,Q2-10
46,44,"If {a,b} is a superkey in R(a,b,c), then________________.",choice,"{a,b,c} must not be a candidate key",nan,2,"A subset of the attributes of a relation schema R is a superkey if it uniquely identifies any tuple in r (R).
A superkey K is called a candidate key if no proper subset of K is a superkey.",Q2-11
47,45,"If {a,b} is a superkey in R(a,b,c), then",choice,"{a,b,c} must be a superkey",nan,2,nan,Q2-12
48,46,"If {a,b} is a candidate key in R(a,b,c), then___________.",choice,"{a,b,c} must be a superkey",nan,3,nan,Q2-13
49,47,"If {a} is a superkey key in R(a,b,c), then_______________.",choice,{a} must be a candidate key,nan,2,nan,Q2-14
50,48,Which of the following is true?,choice,A candidate key is always a superkey,nan,1,"A subset of the attributes of a relation schema R is a superkey if it uniquely identifies any tuple in r (R).
A superkey K is called a candidate key if no proper subset of K is a superkey.
The primary key is chosen from the candidate keys and the primary key is one of the candidate keys.",Q2-15
51,49,Which of the following data types is not supported in PostgreSQL?,choice,String(n),"PostgreSQL does not support String(n) but it supports char, varchar, and Bit.",1,nan,Q2-16
52,50,Which of the following commands is used to create a new relation in PostgreSQL?,choice,create table(…),"We use the create table command to create a new relation schema in the database. The syntax is
create table(…);",1,nan,Q2-17
53,51,Which of the following commands is used to remove relation schema R from a database?,choice,Drop table R,The drop table command is used to delete a relation from a database whereas the delete from table removes all the tuples from a relation.,1,The DROP TABLE statement is used to remove an existing relation schema from a database schema.,Q2-18
54,52,Which of the following commands can be used to remove attribute A from a relation R?,choice,Alter table R drop column A,"We can delete an attribute from a relation using the alter table command with the following syntax
alter table drop",2,"The ALTER TABLE statement is used to modify an existing relation schema.
The DROP TABLE statement is used to remove an existing relation schema.",Q2-19
55,53,The command “CREATE TABLE” belongs to ________.,choice,DDL,Data Definition Language is the language which performs all the operation in defining the relation schema.,1,nan,Q2-20
56,54,The basic data type char(n) is a _____-length character string and varchar(n) is _____-length character string.,choice,"Fixed, Variable",Varchar changes its length accordingly whereas char has a specific length which has to be filled by either letters or spaces.,1,"In database systems, a field can have a fixed or a variable length. A variable-length field is one whose length can be different in each record, depending on what data is stored in the field.",Q2-21
57,55,The ________ clause is used to list the attributes desired in the result of a query.,choice,Select,nan,1,nan,Q3-1
58,56,"In SQL, which of the following is included in DML (Data Manipulation Language)?",choice,Update,nan,1,"A data manipulation language (DML) is a part of the structured query language (SQL) that handles data manipulation including querying (selecting), adding (inserting), deleting, and modifying (updating) data in a database.",Q3-2
59,57,"In SQL, which command is used to add new rows to a table?",choice,Insert,nan,1,nan,Q3-3
60,58,"What is the syntax to add a new tuple to a relation? (Consider D as the relation and (a, b, c) as the new tuple)",choice,"insert into D values (a, b, c);",nan,1,nan,Q3-4
61,59,Which of the following commands do we use to delete all the tuples from a relation (R)?,choice,delete from R,The delete from the command is used to delete all the tuples in a relation.,1,The delete from the command is used to delete all the tuples in a relation. The drop table totally deletes the relation schema.,Q3-5
62,60,"The _____ operation combines two relations by merging pairs of matching tuples, one from each relation, into a single tuple.",choice,Join,nan,1,nan,Q3-6
63,61,What will be the output of the following query? SELECT * FROM person;,choice,Show all rows and columns of table “person”,nan,1,SQL provides the SELECT statement for retrieving data from a database.,Q3-7
64,62,What will be the output of the following query? SELECT COUNT(*) FROM person;,choice,Show the number of rows of table “person”,nan,1,"SQL provides the SELECT statement for retrieving data from a database.
COUNT(*) returns the total number of rows.",Q3-8
65,63,"Which of the following statement correctly creates the relation schema Enrol(StudentID: INT, CourseNo: STRING, Semester: STRING)?",choice,"CREATE TABLE Enrol(StudentID INT, CourseNo VARCHAR(20), Semester VARCHAR(50));",nan,1,nan,Q3-9
66,64,"If {StudentID, CourseNo, Semester} is the primary key for the relation schema Enrol, then the entity integrity constraints guarantee ___________.",choice,None of the attributes in the primary key can be null,nan,1,nan,Q3-10
67,65,"What referential integrity constraints do the following statements define? CREATE TABLE Student(StudentID INT PRIMARY KEY, Name VARCHAR(50)); CREATE TABLE Enrol (StudentID INT, CourseNo VARCHAR(20), Semester VARCHAR(50), FOREIGN KEY(StudentID) REFERENCES Student(StudentID));",choice,Every StudentID appearing in Enrol must exist in Student,nan,1,nan,Q3-11
68,66,"How many rows will be in the query result for the following Select statement? SELECT StudentID, Name FROM Study;",choice,6,nan,1,nan,Q3-12
69,67,How many rows will be in the query result for the following Select statement? SELECT * FROM Study WHERE Name = 'Tom';,choice,1,nan,2,nan,Q3-13
70,68,How many rows will be in the query result for the following Select statement? SELECT * FROM Study WHERE lower(Name) = 'tom';,choice,2,nan,2,nan,Q3-14
71,69,How many rows will be in the result for the following Select statement? SELECT DISTINCT CourseNo FROM Study;,choice,3,nan,2,The SELECT DISTINCT statement is used to remove duplicated rows in the result.,Q3-15
72,70,How many rows will be in the result for the following Select statement? SELECT CourseNo FROM Study WHERE (StudentID = 102) OR (StudentID = 103);,choice,4,nan,2,nan,Q3-16
73,71,"What is the query result for the following Select statement? SELECT COUNT(units), MIN(units) FROM Study;",choice,"6, 4",nan,1,nan,Q3-17
74,72,"How many rows will be in the query result for the following Select statement? SELECT StudentID, COUNT(*) FROM Study GROUP BY StudentID;",choice,4,nan,2,COUNT(*) returns the total number of rows. GROUP BY StudentID groups tuples together if they have the same StudentID.,Q3-18
75,73,"How many rows will be in the result for the following Select statement? SELECT CourseNo, COUNT(*) FROM Study GROUP BY CourseNo Having COUNT(*) > 1;",choice,2,nan,2,nan,Q3-19
76,74,How many rows will be in the result for the following Select statement? SELECT StudentID FROM Study WHERE CourseNo='COMP2400' UNION SELECT StudentID FROM Study WHERE CourseNo='STAT2001';,choice,4,nan,2,The UNION operator is used to union two tables and duplicated tuples will be removed.,Q3-20
77,75,How many rows will be in the result for the following Select statement? SELECT CourseNo FROM Study WHERE StudentID=102 EXCEPT SELECT CourseNo FROM Study WHERE StudentID=103;,choice,1,nan,2,"In SQL, EXCEPT corresponds to the set difference in the relational data model.",Q3-21
78,76,"How many rows will be in the query result for the following Select statement? SELECT * FROM Course, Enrol;",choice,28,"4X7=28
28 rows   5 columns",2,nan,Q3-22
79,77,How many rows will be in the query result for the following Select statement? SELECT * FROM Course INNER JOIN Enrol ON Course.CourseNo=Enrol.CourseNo;,choice,7,nan,2,The INNER JOIN joins tuples in two tables that satisfy the joining condition.,Q3-23
80,78,How many rows will be in the query result for the following Select statement? SELECT * FROM Course NATURAL JOIN Enrol;,choice,7,nan,2,"Natural Join: A natural join retains all the data of the two tables for only the matched rows, without duplication.",Q3-24
81,79,How many rows will be in the query result for the following Select statement? SELECT * FROM Course LEFT JOIN Enrol ON Course.CourseNo=Enrol.CourseNo;,choice,8,nan,2,The LEFT JOIN returns all records from the left table (Course) and the matched records from the right table (Enrol). The result is NULL from the right side if there is no match.,Q3-25
82,80,"How many rows will be in the query result for the following Select statement? SELECT * FROM Course, Enrol WHERE Course.CourseNo=Enrol.CourseNo AND Year = 2018;",choice,3,nan,2,nan,Q3-26
83,81,How many rows will be in the query result for the following Select statement? SELECT * FROM Enrol e WHERE EXISTS (SELECT * FROM Course c WHERE c.CourseNo=e.CourseNo);,choice,7,nan,3,The EXISTS operator is used to test for the existence of any record in a subquery and returns true if the subquery returns one or more tuples.,Q3-27
84,82,How many rows will be in the query result for the following Select statement? SELECT * FROM Course c WHERE EXISTS (SELECT * FROM Enrol e WHERE c.CourseNo=e.CourseNo);,choice,3,nan,3,nan,Q3-28
85,83,How many rows will be in the query result for the following Select statement? SELECT * FROM Enrol e WHERE e.CourseNo IN (SELECT c.CourseNo FROM Course c WHERE CourseName = ‘Relational Databases’);,choice,2,nan,3,IN subquery tests if a tuple occurs in the result of the subquery.,Q3-29
86,84,"How many rows, columns will be in the query result for the following Select statement? SELECT * FROM Course c WHERE NOT EXISTS (SELECT * FROM Enrol e WHERE c.CourseNo=e.CourseNo);",choice,"1,2",nan,3,nan,Q3-30
87,85,Which of the following Select statement correctly list the CourseNo and the corresponding number of students enrolled for all courses in 2019?,choice,"SELECT CourseNo, COUNT(*) AS NoOfStudents      FROM Enrol      WHERE Year = 2019      GROUP BY CourseNo;",nan,2,nan,Q3-31
91,86,Which constraint can be captured by the ER diagram?,choice,Primary key constraint,nan,1,nan,Q4-1
92,87,"In ER diagram, weak entity is represented by a______________.",choice,Double rectangle,nan,1,A weak entity type is an entity type that does not have sufficient attributes to form a primary key.,Q4-2
93,88,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Which of the following can be modelled as an entity type?",choice,Fitness class,nan,1,nan,Q4-3
94,89,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Which of the following can be modelled as an entity type?",choice,Employee of fitness centre,nan,1,nan,Q4-4
95,90,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Which of the following can be modelled as an attribute?",choice,Employee ID,nan,1,Attributes: properties that describe entities and relationships.,Q4-5
96,91,"Consider a database that stores names, addresses and unique IDs of employees in a fitness centre. The employees are classified into three categories: trainers, administrators and technicians. Each trainer has one or more specialities, e.g., weight gain, weight loss, strength building, etc. An administrator can register new members and be reached through a landline phone number. Each member is identified by an email address. The fitness centre organises fitness classes for members. Each class has a name, a start date, an end date, and a daily time slot. No two fitness classes have the same daily time slot, and for each fitness class the start date must be before the end date. A member may choose to participate in one or more fitness classes and may also choose one of the trainers as their personal trainer. Each fitness class is attended by one or more members and instructed by only one trainer. Not all trainers deliver fitness classes. After receiving the approval from an administrator, a member may choose to add multiple associate members who will have partial access to the services provided by the fitness centre, and an associate number (i.e., 1, 2, . . .) and the name of each associate member are recorded in the database. The database keeps track of equipment available in the fitness centre. Each piece of equipment has a unique ID and must have one of the following three status types: new, working or broken. Each technician has a mobile phone number. Technicians maintain equipment in the fitness centre and the database records the date of each maintenance event. Each piece of equipment should be maintained at least twice a year. Which of the following can be modelled as an attribute?",choice,Speciality,nan,2,nan,Q4-6
